Sector,Pressure,Ecological Characteristic,Overlap,Frequency,DoI,Resilience,Persistence,Checked,Extrap,Confidence,Review Panel notes and amendments,Amendments,Comments from original assessment,Overlap Score,Frequency Score,DoI Score,Resilience Score,Persistence Score
Aggregates,Emergence Regime,Shallow Rock & Reef,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Emergence Regime,Littoral Sediment,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Emergence Regime,Littoral Rock & Reef,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Electromagnetic Fields,Demersal Elasmobranch,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Electromagnetic Fields,Pelagic Elasmobranch,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Electromagnetic Fields,Deep Sea Elasmobranch,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Electromagnetic Fields, Reptiles ,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Electromagnetic Fields,Cephalopods,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Electromagnetic Fields,Deep Sea Fish,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Electromagnetic Fields,Demersal Fish,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Electromagnetic Fields,Pelagic Fish,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Electromagnetic Fields,Seabirds,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Electromagnetic Fields,Seals,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Electromagnetic Fields,Toothed Whales,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Electromagnetic Fields,Baleen Whales,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Electromagnetic Fields,Oceanic Pelagic,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Electromagnetic Fields,Shelf Pelagic,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Electromagnetic Fields,Coastal Pelagic,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Electromagnetic Fields,Abyssal Sediment,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Electromagnetic Fields,Abyssal Rock & Reef,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Electromagnetic Fields,Bathyal Sediment,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Electromagnetic Fields,Bathyal Rock & Reef,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Electromagnetic Fields,Slope Sediment,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Electromagnetic Fields,Slope Rock Reef,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Electromagnetic Fields,Shelf Sediment,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Electromagnetic Fields,Shelf Rock & Reef,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Electromagnetic Fields,Shallow Mud,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Electromagnetic Fields,Shallow Sediment,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Electromagnetic Fields,Shallow Rock & Reef,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Electromagnetic Fields,Littoral Sediment,NO,,,,,,,,,,0,0,0,0,0,0
Aggregates,Electromagnetic Fields,Littoral Rock & Reef,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Incidental Loss,Demersal Elasmobranch,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Incidental Loss,Pelagic Elasmobranch,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Incidental Loss,Deep Sea Elasmobranch,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Incidental Loss, Reptiles ,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Incidental Loss,Cephalopods,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Incidental Loss,Deep Sea Fish,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Incidental Loss,Demersal Fish,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Incidental Loss,Pelagic Fish,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Incidental Loss,Seabirds,NO,,,,,,,,,,No loss of individuals likely. Change in behaiour possible but below evaluation threshold,0,0,0,0,0
Aggregates,Incidental Loss,Seals,NO,,,,,,,,,REMOVED: avoidance more likely,Highly unlikely,0,0,0,0,0
Aggregates,Incidental Loss,Toothed Whales,NO,,,,,,,,,REMOVED: avoidance more likely,,0,0,0,0,0
Aggregates,Incidental Loss,Baleen Whales,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Incidental Loss,Oceanic Pelagic,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Incidental Loss,Shelf Pelagic,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Incidental Loss,Coastal Pelagic,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Incidental Loss,Abyssal Sediment,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Incidental Loss,Abyssal Rock & Reef,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Incidental Loss,Bathyal Sediment,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Incidental Loss,Bathyal Rock & Reef,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Incidental Loss,Slope Sediment,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Incidental Loss,Slope Rock Reef,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Incidental Loss,Shelf Sediment,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Incidental Loss,Shelf Rock & Reef,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Incidental Loss,Shallow Mud,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Incidental Loss,Shallow Sediment,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Incidental Loss,Shallow Rock & Reef,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Incidental Loss,Littoral Sediment,NO,,,,,,,,,,0,0,0,0,0,0
Aggregates,Incidental Loss,Littoral Rock & Reef,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Invasive Species,Demersal Elasmobranch,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Invasive Species,Pelagic Elasmobranch,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Invasive Species,Deep Sea Elasmobranch,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Invasive Species, Reptiles ,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Invasive Species,Cephalopods,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Invasive Species,Deep Sea Fish,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Invasive Species,Demersal Fish,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Invasive Species,Pelagic Fish,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Invasive Species,Seabirds,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Invasive Species,Seals,NO,,,,,,,,,,single operator ,0,0,0,0,0
Aggregates,Invasive Species,Toothed Whales,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Invasive Species,Baleen Whales,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Invasive Species,Oceanic Pelagic,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Invasive Species,Shelf Pelagic,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Invasive Species,Coastal Pelagic,NO,,,,,,,,,REMOVED: vessels do not move widely,Only 1 site currently ,0,0,0,0,0
Aggregates,Invasive Species,Abyssal Sediment,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Invasive Species,Abyssal Rock & Reef,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Invasive Species,Bathyal Sediment,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Invasive Species,Bathyal Rock & Reef,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Invasive Species,Slope Sediment,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Invasive Species,Slope Rock Reef,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Invasive Species,Shelf Sediment,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Invasive Species,Shelf Rock & Reef,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Invasive Species,Shallow Mud,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Invasive Species,Shallow Sediment,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Invasive Species,Shallow Rock & Reef,NO,,,,,,,,,,SUCTION DREDGE ON SINGLE SITE,0,0,0,0,0
Aggregates,Invasive Species,Littoral Sediment,NO,,,,,,,,,,0,0,0,0,0,0
Aggregates,Invasive Species,Littoral Rock & Reef,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Litter,Demersal Elasmobranch,NO,,,,,,,,,REMOVED: coastal activity - unlikely to cause much Litter,,0,0,0,0,0
Aggregates,Litter,Pelagic Elasmobranch,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Litter,Deep Sea Elasmobranch,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Litter, Reptiles ,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Litter,Cephalopods,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Litter,Deep Sea Fish,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Litter,Demersal Fish,NO,,,,,,,,,REMOVED: coastal activity - unlikely to cause much Litter,,0,0,0,0,0
Aggregates,Litter,Pelagic Fish,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Litter,Seabirds,NO,,,,,,,,,REMOVED: coastal activity - unlikely to cause much Litter,,0,0,0,0,0
Aggregates,Litter,Seals,NO,,,,,,,,,REMOVED: coastal activity - unlikely to cause much Litter,,0,0,0,0,0
Aggregates,Litter,Toothed Whales,NO,,,,,,,,,REMOVED: coastal activity - unlikely to cause much Litter,,0,0,0,0,0
Aggregates,Litter,Baleen Whales,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Litter,Oceanic Pelagic,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Litter,Shelf Pelagic,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Litter,Coastal Pelagic,NO,,,,,,,,,REMOVED: coastal activity - unlikely to cause much Litter,Only 1 site currently ,0,0,0,0,0
Aggregates,Litter,Abyssal Sediment,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Litter,Abyssal Rock & Reef,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Litter,Bathyal Sediment,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Litter,Bathyal Rock & Reef,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Litter,Slope Sediment,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Litter,Slope Rock Reef,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Litter,Shelf Sediment,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Litter,Shelf Rock & Reef,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Litter,Shallow Mud,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Litter,Shallow Sediment,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Litter,Shallow Rock & Reef,NO,,,,,,,,,,SINGLE VESSEL OPERATION ONLY,0,0,0,0,0
Aggregates,Litter,Littoral Sediment,NO,,,,,,,,,,0,0,0,0,0,0
Aggregates,Litter,Littoral Rock & Reef,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Nitrogen & Phosphorus,Demersal Elasmobranch,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Nitrogen & Phosphorus,Pelagic Elasmobranch,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Nitrogen & Phosphorus,Deep Sea Elasmobranch,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Nitrogen & Phosphorus, Reptiles ,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Nitrogen & Phosphorus,Cephalopods,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Nitrogen & Phosphorus,Deep Sea Fish,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Nitrogen & Phosphorus,Demersal Fish,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Nitrogen & Phosphorus,Pelagic Fish,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Nitrogen & Phosphorus,Seabirds,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Nitrogen & Phosphorus,Seals,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Nitrogen & Phosphorus,Toothed Whales,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Nitrogen & Phosphorus,Baleen Whales,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Nitrogen & Phosphorus,Oceanic Pelagic,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Nitrogen & Phosphorus,Shelf Pelagic,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Nitrogen & Phosphorus,Coastal Pelagic,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Nitrogen & Phosphorus,Abyssal Sediment,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Nitrogen & Phosphorus,Abyssal Rock & Reef,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Nitrogen & Phosphorus,Bathyal Sediment,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Nitrogen & Phosphorus,Bathyal Rock & Reef,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Nitrogen & Phosphorus,Slope Sediment,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Nitrogen & Phosphorus,Slope Rock Reef,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Nitrogen & Phosphorus,Shelf Sediment,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Nitrogen & Phosphorus,Shelf Rock & Reef,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Nitrogen & Phosphorus,Shallow Mud,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Nitrogen & Phosphorus,Shallow Sediment,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Nitrogen & Phosphorus,Shallow Rock & Reef,NO,,,,,,,,,,,0,0,0,0,0
Aggregates,Nitrogen & Phosphorus,Littoral Sediment,NO,,,,,,,,,,0,0,0,0,0,0
Aggregates,Nitrogen & Phosphorus,Littoral Rock & Reef,NO,,,,,,,,,,,0,0,0,0,0
